M2,M5,M6,M7,M8,Heating System Type,HeatCode_4a,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Boiler,Bulk LPG,old system,Combi,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,balancedflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,Standard,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, pre 1979",116,56,46,56,standard,balancedflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,Back Boiler,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,openflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,Combi,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,openflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,Standard,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, pre 1979",116,56,46,56,standard,openflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,fanassistedbalancedflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,balancedflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,openflue,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,old system,CPSU,Unobtainable,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,notapplicable,bulk_lpg,FALSE,1985
Boiler,Bulk LPG,1998+,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,fanassistedbalancedflue,bulk_lpg,FALSE,2005
Boiler,Bulk LPG,1998+,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,balancedflue,bulk_lpg,FALSE,2005
Boiler,Bulk LPG,1998+,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,openflue,bulk_lpg,FALSE,2005
Boiler,Bulk LPG,1998+,CPSU,Unobtainable,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,notapplicable,bulk_lpg,FALSE,2005
Boiler,Bulk LPG,pre 1998,CPSU,Fan assisted,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,fanassistedbalancedflue,bulk_lpg,FALSE,1995
Boiler,Bulk LPG,pre 1998,CPSU,Balanced,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,balancedflue,bulk_lpg,FALSE,1995
Boiler,Bulk LPG,pre 1998,CPSU,Open,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,openflue,bulk_lpg,FALSE,1995
Boiler,Bulk LPG,pre 1998,CPSU,Unobtainable,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (condensing),121,83,81,83,cpsu,notapplicable,bulk_lpg,FALSE,1995
