aacode,manufacturer,brand,model,qualifier,boilertype,fueltype,fluetype,condensing,annualefficiency,winterefficiency,summerefficiency,storeboilervolume,storesolarvolume,storeinsulationthickness,row
K5122004,ideal boilers,ideal,evomax,40,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.3,90.3,79.6,0.0,0.0,0.0,1921
K5122006,caradon plumbing,ideal,classic,ff230,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,77.2,78.1,68.0,0.0,0.0,0.0,3342
K5122007,vokera,vokera,unica,28 he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.8,89.7,86.8,0.0,0.0,0.0,2286
K5122009,vokera,vokera,compact,25he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.0,86.9,76.8,0.0,0.0,0.0,2907
K5122011,vokera,vokera,linea 24,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,77.5,78.4,68.3,0.0,0.0,0.0,737
K5122021,vaillant,vaillant,ecomax,824/2e,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1604
K5122022,vaillant,vaillant,ecotec plus,824,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1807
K5122027,worcester heat systems,worcester,greenstar,28i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2612
K5124216,baxi heating,baxi heating,boston,70 of,REGULAR,MAINS_GAS,OPEN_FLUE,false,55.0,56.0,46.0,0.0,0.0,0.0,472
K5124221,vaillant,vaillant,thermocompact,vu 142 eh,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,75.8,76.8,66.1,0.0,0.0,0.0,688
K5124223,baxi heating,baxi heating,solo pf 3,50,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,76.7,77.6,67.5,0.0,0.0,0.0,760
K5126206,vaillant,vaillant,ecotec plus,624,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.9,79.2,0.0,0.0,0.0,1812
K5126220,baxi potterton,potterton,performa,30 he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,2886
K5126221,baxi potterton,potterton,suprima,40l,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.5,79.4,69.3,0.0,0.0,0.0,1269
K5126222,baxi potterton,baxi,100 he,,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.6,90.6,79.9,0.0,0.0,0.0,1112
K5128718,vaillant,vaillant,ecomax,824 e,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,87.4,88.3,78.2,0.0,0.0,0.0,660
K5128725,vaillant group,glow-worm,flexicom 30cx,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.3,89.2,79.1,0.0,0.0,0.0,2741
K5128729,potterton myson,potterton,profile,50e,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,75.4,76.3,66.2,0.0,0.0,0.0,791
K5129508,vaillant,vaillant,ecotec plus,824,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1807
K5129519,worcester heat systems,worcester,greenstar,28i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2612
K5129617,vaillant,vaillant,ecotec pro 24,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.9,89.8,79.7,0.0,0.0,0.0,1882
K5129716,worcester heat systems,worcester,greenstar,24i junior,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.1,90.0,86.7,0.0,0.0,0.0,2611
K5130902,baxi heating,main,combi,30 eco,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.6,79.5,0.0,0.0,0.0,2563
